uniprot,gene_name
C0HKG5,Rnaset2a
C0HKG6,Rnaset2b
Q8VEB6,Elac1
Q80Y81,Elac2
Q62191,Trim21
O08848,RO60
Q9CX86,Hnrnpa0
P49312,Hnrnpa1
O88569,Hnrnpa2b1
Q8BG05,Hnrnpa3
Q99020,Hnrnpab
O89026,Robo1
Q7TPD3,Robo2
Q9Z2I4,Robo3
Q8C310,Robo4
P70335,Rock1
P70336,Rock2
Q3TDK6,Rogdi
P32958,Rom1
P60603,Romo1
Q62190,Mst1r
Q9EQ00,Ropn1l
Q9ESG2,Ropn1
Q9Z139,Ror1
Q9Z138,Ror2
P51448,Rora
Q8R1B8,Rorb
P51450,Rorc
Q78DX7,Ros1
Q8CGM2,Rp1l1
P56716,Rp1
Q99JH1,Rpp25l
P47708,Rph3a
P97762,rp9
Q791N7,Polr1h
O35134,Polr1a
P70700,Polr1b
Q76KJ5,Polr1g
Q78WZ7,Polr1f
Q8K202,Polr1e
Q80UW8,Polr2e
P61219,Polr2f
Q923G2,Polr2h
Q63871,Polr2k
P62876,Polr2l
P52432,Polr1c
P97304,Polr1d
Q80TE0,Rpap1
Q8VC34,Rpap2
Q9D706,Rpap3
O08740,Polr2j
P08775,Polr2a
Q8CFI7,Polr2b
P97760,Polr2c
Q9D7M8,Polr2d
P62488,Polr2g
P60898,Polr2i
Q9CQZ7,Polr3k
P59470,Polr3b
Q9D483,Polr3c
Q91WD1,Polr3d
Q9CZT4,Polr3e
Q921X6,Polr3f
Q8R0C0,Polr3gl
Q6NXY9,Polr3g
Q9D2C6,Polr3h
O35427,Crcp
Q91ZQ5,Rpe65
Q8VEE0,Rpe
Q7TND5,Rpf1
Q9JJ80,Rpf2
Q8CHG7,Rapgef2
Q8VCC8,Rapgef3
Q9EQZ6,Rapgef4
Q8C0Q9,Rapgef5
Q68EF8,Rapgefl1
A2ALS5,Rap1gap
Q5SVL6,Rap1gap2
Q9EPQ2,Rpgrip1
Q9R0X5,Rpgr
Q768S4,Rph3al
P47968,Rpia
Q8R2S1,Rps6kl1
Q91YQ5,Rpn1
Q9DBG6,Rpn2
Q8BKF1,Polrmt
Q9CQH8,Rpp14
Q8R040,Rpp21
Q91WE3,Rpp25
Q9CR08,Pop4
O88796,Rpp30
Q80UU2,Rpp38
Q8R1F9,Rpp40
Q8VDS4,Rprd1a
Q9CSU0,Rprd1b
Q6NXI6,Rprd2
Q3URD2,Rprml
Q9JJ72,Rprm
P97347,Rptn
Q8K4Q0,Rptor
Q80X95,Rraga
Q6NTA4,Rragb
Q99K70,Rragc
Q7TT45,Rragd
P62071,Rras2
P10833,Rras
Q99PL5,Rrbp1
Q3UH06,Rreb1
Q8R2Q4,Gfm2
Q9D6S7,Mrrf
B2RS91,Rrn3
Q6P5B0,Rrp12
Q9CYX7,Rrp15
Q91YK2,Rrp1b
P56183,Rrp1
Q3UFY0,Rrp36
Q9CSH3,Dis3
Q6NS46,Pdcd11
Q9D1C9,Rrp7a
Q9DB85,Rrp8
Q9CYH6,Rrs1
E9PYQ0,Rsph10b
P63325,Rps10
P62281,Rps11
P63323,Rps12
P62301,Rps13
P62264,Rps14
P62245,Rps15a
P62843,Rps15
P14131,Rps16
P63276,Rps17
P62270,Rps18
Q9CZX8,Rps19
P60867,Rps20
Q9CQR2,Rps21
P62267,Rps23
P62849,Rps24
P62852,Rps25
P62855,Rps26
P62983,Rps27a
Q6ZWY3,Rps27l
Q6ZWU9,Rps27
P62858,Rps28
P62274,Rps29
P25444,Rps2
P62862,Fau
P62947,Rpl41
P97351,Rps3a
P62908,Rps3
P62702,Rps4x
P97461,Rps5
P62754,Rps6
P62082,Rps7
P62242,Rps8
Q6ZWN5,Rps9
Q5SUV1,Rsad1
Q8CBB9,Rsad2
Q80T69,Rsbn1
Q9ER99,Rsc1a1
Q3UFY4,Rsph3a
Q9DA80,Rsph3b
Q8BYM7,Rsph4a
Q8CDR2,Rsph6a
Q8K5A4,Rasl10a
Q5SSG5,Rasl10b
Q6IMB1,Rasl11a
Q922H7,Rasl11b
P27048,Snrpb
P63163,Snrpn
Q9D3W1,Rsph14
Q8VIG3,Rsph1
Q9D9V4,Rsph9
Q9Z132,Rspo1
Q8BFU0,Rspo2
Q2TJ95,Rspo3
Q8BJ73,Rspo4
Q8BVR6,Rspry1
Q9DBU6,Rsrc1
A2RTL5,Rsrc2
Q3UC65,Rsrp1
P14206,Rpsa
Q01730,Rsu1
Q924T2,Mrps2
Q99N87,Mrps5
P58064,Mrps6
Q80X85,Mrps7
Q9D7N3,Mrps9
Q80ZK0,Mrps10
Q9DCA2,Mrps11
O35680,Mrps12
Q9CR88,Mrps14
Q9DC71,Mrps15
Q9CPX7,Mrps16
Q9CQE3,Mrps17
Q99N85,Mrps18a
Q99N84,Mrps18b
Q8R2L5,Mrps18c
P58059,Mrps21
Q9CXW2,Mrps22
Q8VE22,Mrps23
Q9CQV5,Mrps24
Q9D125,Mrps25
Q80ZS3,Mrps26
Q8BK72,Mrps27
Q9CY16,Mrps28
Q9ER88,Dap3
Q9D0G0,Mrps30
Q61733,Mrps31
Q9D2R8,Mrps33
Q9JIK9,Mrps34
Q8BJZ4,Mrps35
Q924D0,Rtn4ip1
Q9CQF8,Mrpl57
Q8QZY4,Rtbdn
Q9D7H3,RtcA
Q99LF4,Rtcb
Q0VGM9,Rtel1
A2AQ19,Rtf1
Q99K95,Rtf2
Q14B46,Rtkn2
Q8C6B2,Rtkn
Q7M732,Rtl1
Q6P1Y1,Rtl3
Q3URY0,Rtl4
Q5DTT4,Rtl5
Q505G4,Rtl6
Q32KG4,Rtl9
Q8K0T0,Rtn1
O70622,Rtn2
Q9ES97,Rtn3
Q99PI8,Rtn4r
Q99P72,Rtn4
Q8C8C1,Rtp1
Q80ZI2,Rtp2
Q5QGU6,Rtp3
Q9ER80,Rtp4
Q9CQE8,RTRAF
Q8R4Y8,Rttn
Q62376,Snrnp70
Q62241,Snrpc
P57784,Snrpa1
Q9CQI7,Snrpb2
Q80U62,Rubcn
Q8BIJ7,Rufy1
Q8R4C2,Rufy2
Q9D394,Rufy3
Q3TYX8,Rufy4
O08576,Rundc3a
Q6PDC0,Rundc3b
Q0VDN7,Rundc1
Q03347,Runx1
Q08775,Runx2
Q64131,Runx3
Q8BG26,Rusc1
Q80U22,Rusc2
Q8VCZ8,Rpusd1
Q149F1,Rpusd2
Q14AI6,Rpusd3
Q9CWX4,Rpusd4
Q91W34,Rusf1
P60122,Ruvbl1
Q9WTM5,Ruvbl2
P62305,Snrpe
P62307,Snrpf
P62309,Snrpg
Q9D9S3,Rwdd2a
Q99M03,Rwdd2b
Q9CQK7,Rwdd1
Q8VIL2,Rwdd3
Q9CPR1,Rwdd4
Q6R6I7,Rxfp1
Q91ZZ5,Rxfp2
Q8VDX6,Rxylt1
P28700,Rxra
P28704,Rxrb
P28705,Rxrg
O35602,Rax
Q8CCI5,Rybp
Q01887,Ryk
E9PZQ0,Ryr1
E9Q401,Ryr2
A2AGL3,Ryr3
P50114,S100b
P97816,S100g
P56565,S100a1
P62818,S100a3
P07091,S100a4
P63084,S100a5
P14069,S100a6
P27005,S100a8
P31725,S100a9
P08207,S100a10
P50543,S100a11
P97352,S100a13
Q9D2Q8,S100a14
Q9D708,S100a16
Q6S5I3,S100a15a
Q3TAA7,Stk11ip
P55014,Slc12a1
P55012,Slc12a2
P59158,Slc12a3
Q9JIS8,Slc12a4
Q91V14,Slc12a5
Q924N4,Slc12a6
Q9WVL3,Slc12a7
Q8VI23,Slc12a8
Q99MR3,Slc12a9
Q9JHI4,Slc13a1
Q9ES88,Slc13a2
Q91Y63,Slc13a3
Q67BT3,Slc13a5
A8Y5H7,Sec14l1
Q99J08,Sec14l2
Q8R0F9,Sec14l4
Q9JIP7,Slc15a1
Q9ES07,Slc15a2
Q8BPX9,Slc15a3
Q91W98,Slc15a4
Q8CBB2,Slc15a5
Q05A13,Sdr16c6
Q5NCM1,Slc17a4
Q8BN82,Slc17a5
Q8VCL5,Slc17a9
D3Z5L6,Slc18b1
Q9D174,Ss18l2
P41438,Slc19a1
Q9EQN9,Slc19a2
Q99PL8,Slc19a3
Q9D5K4,S100pbp
O08530,S1pr1
P52592,S1pr2
Q9Z0U9,S1pr3
Q9Z0L1,S1pr4
Q91X56,S1pr5
Q61609,Slc20a1
Q80UP8,Slc20a2
O08966,Slc22a1
O70577,Slc22a2
Q9WTW5,Slc22a3
Q9Z306,Slc22a4
Q9Z0E8,Slc22a5
Q8VC69,Slc22a6
Q91WU2,Slc22a7
O88909,Slc22a8
Q8CFZ5,Slc22a12
Q6A4L0,Slc22a13
Q497L9,Slc22a14
Q504N2,Slc22a15
Q497L8,Slc22a16
Q9D9E0,Slc22a17
Q78KK3,Slc22a18
Q8VCA0,Slc22a19
Q80UJ1,Slc22a20
Q9WTN6,Slc22a21
Q8R0S9,Slc22a22
Q3UHH2,Slc22a23
Q76M72,Slc22a27
Q9Z2J0,Slc23a1
Q9EPR4,Slc23a2
Q60850,Slc23a3
Q6NZC7,Sec23ip
Q8BH59,Slc25a12
Q9QXX4,Slc25a13
Q8BL03,Slc25a29
Q8BMG8,Slc25a32
Q3TZX3,Slc25a33
A2ADF7,Slc25a34
Q5SWT3,Slc25a35
Q922G0,Slc25a36
Q91XD8,Slc25a38
Q9D8K8,Slc25a39
Q8BGP6,Slc25a40
Q8BVN7,Slc25a41
Q8R0Y8,Slc25a42
A2A3V2,Slc25a43
Q8BGF9,Slc25a44
Q8CFJ7,Slc25a45
Q9CQS4,Slc25a46
Q6IS41,Slc25a47
Q8BW66,Slc25a48
Q5HZI9,Slc25a51
Q8VEM8,Slc25a3
Q5EBI0,Slc26a10
Q80ZD3,Slc26a11
P58735,Slc26a1
Q62273,Slc26a2
Q9WVC8,Slc26a3
Q9R155,Slc26a4
Q99NH7,Slc26a5
Q8CIW6,Slc26a6
Q8R2Z3,Slc26a7
Q8R0C3,Slc26a8
Q8BU91,Slc26a9
Q60714,Slc27a1
O35488,Slc27a2
O88561,Slc27a3
Q91VE0,Slc27a4
Q4LDG0,Slc27a5
E9Q9W4,Slc27a6
E9PXX9,Slc28a1
O88627,Slc28a2
Q9ERH8,Slc28a3
Q9JIM1,Slc29a1
Q61672,Slc29a2
Q99P65,Slc29a3
Q8R139,Slc29a4
Q9JI02,Scgb2b20
Q7M747,Scgb2b24
Q02614,Sap30bp
Q80YD3,Spata31f3
Q3V0E1,Spata31g1
Q61420,Slc35a1
Q9R0M8,Slc35a2
Q8R1T4,Slc35a3
Q9D321,Slc35a4
Q921R7,Slc35a5
P97858,Slc35b1
Q91ZN5,Slc35b2
Q922Q5,Slc35b3
Q8CIA5,Slc35b4
Q8VCX2,Slc35c2
A2AKQ0,Slc35d1
Q762D5,Slc35d2
Q8BGF8,Slc35d3
Q8CD26,Slc35e1
Q8C811,Slc35e2a
Q6PGC7,Slc35e3
Q8K3D6,Slc35e4
Q8BGK5,Slc35f1
Q7TML3,Slc35f2
Q1LZI2,Slc35f3
Q8BZK4,Slc35f4
Q8R314,Slc35f5
Q8VE96,Slc35f6
Q8BY79,Slc35g1
D3YVE8,Slc35g2
Q5F297,Slc35g3
Q8K4D3,Slc36a1
Q8BHK3,Slc36a2
Q811P0,Slc36a3
Q8CH36,Slc36a4
Q8K2P7,Slc38a1
Q8CFE6,Slc38a2
Q9DCP2,Slc38a3
Q8R1S9,Slc38a4
Q3U1J0,Slc38a5
G3UVW3,Slc38a6
Q8BWH0,Slc38a7
Q5HZH7,Slc38a8
Q8BGD6,Slc38a9
Q5I012,Slc38a10
Q3USY0,Slc38a11
Q9QZ03,Slc39a1
G3X943,Slc39a2
Q99K24,Slc39a3
Q78IQ7,Slc39a4
Q9D856,Slc39a5
Q8C145,Slc39a6
Q31125,Slc39a7
Q91W10,Slc39a8
Q8BFU1,Slc39a9
Q6P5F6,Slc39a10
Q8BWY7,Slc39a11
Q5FWH7,Slc39a12
Q8BZH0,Slc39a13
Q75N73,Slc39a14
Q80VA5,Sh3tc2
Q9JHI9,Slc40a1
Q8BJA2,Slc41a1
Q8BYR8,Slc41a2
Q921R8,Slc41a3
A2AVZ9,Slc43a3
Q8BIV7,Slc45a1
P58355,Slc45a2
Q8K0H7,Slc45a3
Q0P5V9,Slc45a4
Q8CA03,Slc46a2
Q9DC26,Slc46a3
Q8K0H1,Slc47a1
Q3V050,Slc47a2
Q8CE47,Slc49a3
Q5DTL9,Slc4a10
A2AJN7,Slc4a11
O88343,Slc4a4
E9Q3M5,Slc4a5
Q8BTY2,Slc4a7
Q8JZR6,Slc4a8
Q9D8F3,Slc52a2
Q9D6X5,Slc52a3
Q9Z0U0,Xpr1
Q68FF9,Srd5a1
Q99N99,Srd5a2
Q9ET37,Slc5a4a
Q91ZP4,Slc5a4b
P61620,Sec61a1
Q9JLR1,Sec61a2
Q8VDB9,Slc6a20a
O88575,Slc6a20b
Q80XM9,Slc66a2
Q8C6U2,Slc66a3
P31650,Slc6a11
P31651,Slc6a12
P31649,Slc6a13
Q9JMA9,Slc6a14
Q8BG16,Slc6a15
Q8BJI1,Slc6a17
O88576,Slc6a18
Q9D687,Slc6a19
Q9CTN5,Six6os1
Q8VIE6,Slc7a12
Q91WN3,Slc7a13
Q8BXR1,Slc7a14
Q7TPE5,Slc7a6os
P05366,Saa1
P05367,Saa2
P04918,Saa3
P31532,Saa4
Q9D2C2,Saal1
Q9EP69,Sacm1l
Q8CDA1,Inpp5f
A6H687,Sac3d1
Q9DA48,Spaca1
Q9D9X8,Spaca3
Q80ZQ0,Spaca4
E9Q8Q8,Spaca6
Q7TPM5,Spaca9
Q9JLC8,Sacs
Q9R1T2,Sae1
Q9Z1F9,Uba2
D3YXK2,Safb
Q80YR5,Safb2
Q80SW1,Ahcyl1
Q68FL4,Ahcyl2
P50247,Ahcy
Q9ER74,Sall1
Q9QX96,Sall2
Q62255,Sall3
Q8BX22,Sall4
Q7TST3,Samd10
Q1RNF8,Samd11
Q0VE29,Samd12
D3YUG0,Samd13
Q8K070,Samd14
F6XZJ7,Samd15
Q8BGH2,Samm50
Q69Z37,Samd9l
Q5U680,Slc25a26
D3YXK1,Samd1
Q8C4H2,Samd3
Q3V1H9,Samd5
Q8C8Y5,Samd7
Q9DA37,Samd8
Q60710,Samhd1
P57725,Samsn1
P12246,Apcs
Q8BXK4,Samtor
Q68FF0,Sanbr
O55128,Sap18
Q1EHW4,Sap25
O88574,Sap30
Q60648,Gm2a
Q9CY86,Sapcd1
Q9D818,Sapcd2
Q8C1C1,Psapl1
Q61207,Psap
P36536,Sar1a
Q9CQC9,Sar1b
Q8R3Q0,Saraf
Q9CQD6,Sln
Q99LB7,Sardh
Q8BI29,Sarg
Q6PDS3,Sarm1
Q9D1J3,Sarnp
Q9JLI8,Sart3
Q9JI13,Utp3
Q80UK7,Sass6
P59808,Sash1
Q8K352,Sash3
Q8R197,Olah
P48026,Sat1
Q6P8J2,Sat2
Q60611,Satb1
Q8VI24,Satb2
Q9D5N8,Satl1
O35874,Slc1a4
Q8VEB2,Sav1
Q8BQB6,Saxo2
Q148A4,Saxo4
Q8K190,Saysd1
P70122,Sbds
Q8QZX0,Sbk1
P0C5K1,Sbk2
P0C5K0,Sbk3
Q689Z5,Sbno1
Q7TNB8,Sbno2
P17563,Selenbp1
Q6A098,Secisbp2l
Q63836,Selenbp2
Q8CIT9,Sbsn
Q3UPR9,Sbspon
Q9R0P6,Sec11a
Q9D8V7,Sec11c
E9QAT4,Sec16a
Q91XT4,Sec16b
Q8BH47,Sec22a
O08547,Sec22b
Q8BXT9,Sec22c
Q01405,Sec23a
Q9D662,Sec23b
Q3U2P1,Sec24a
Q3UPL0,Sec31a
Q3TZ89,Sec31b
Q8C3K6,Slc5a1
Q923I7,Slc5a2
Q9JKZ2,Slc5a3
Q99PN0,Slc5a5
Q5U4D8,Slc5a6
Q8BGY9,Slc5a7
Q8BYF6,Slc5a8
Q8VDT1,Slc5a9
Q5SWY8,Slc5a10
Q8K0E3,Slc5a11
Q49B93,Slc5a12
O88822,Sc5d
Q9CQS8,Sec61b
P60060,Sec61g
Q8K2B0,P3h4
P31648,Slc6a1
O55192,Slc6a2
Q61327,Slc6a3
Q60857,Slc6a4
Q761V0,Slc6a5
O35316,Slc6a6
Q6PGE7,Slc6a7
Q8VBW1,Slc6a8
P28571,Slc6a9
Q7TSH6,Scaf4
Q6DID3,Scaf8
Q8C8N2,Scai
Q8K021,Scamp1
Q9ERN0,Scamp2
O35609,Scamp3
Q9JKV5,Scamp4
Q9JKD3,Scamp5
Q6GQT6,Scap
Q8C850,Scara3
Q8K299,Scara5
Q9D2X5,Mau2
P13011,Scd2
Q99PL7,Scd3
Q6T707,Scd4
Q9EQG3,Scel
Q8BRF7,Scfd1
Q8BTY8,Scfd2
P20826,Kitlg
P16014,Chgb
Q03517,Scg2
P47867,Scg3
P0DPB4,Schip1
Q3UU41,Scimp
Q60604,Scin
G5E861,Sclt1
Q9JLI6,Scly
Q8BMD8,Slc25a24
A2ASZ8,Slc25a25
Q6GQS1,Slc25a23
Q8K214,Scmh1
Q80VG1,Scml4
A2APX8,Scn1a
P97952,Scn1b
B1AWN6,Scn2a
Q56A07,Scn2b
A2ASI5,Scn3a
Q8BHK2,Scn3b
Q9ER60,Scn4a
Q7M729,Scn4b
Q9JJV9,Scn5a
B1AYL1,Scn7a
Q9WTU3,Scn8a
Q62205,Scn9a
Q6QIY3,Scn10a
Q9R053,Scn11a
Q8K136,Scnm1
Q61180,Scnn1a
Q9WU38,Scnn1b
Q9WU39,Scnn1g
Q5SUC9,Sco1
Q9JJN4,Oxct2a
Q9ESL0,Oxct2b
Q8VCL2,Sco2
Q78YZ6,Scoc
Q9D0K2,Oxct1
Q9DAH1,Scp2d1
P32020,Scp2
Q8R127,Sccpdh
B9UIU9,Scpppq1
Q61009,Scarb1
O35114,Scarb2
O88745,Scrg1
Q80U72,Scrib
Q9CZC8,Scrn1
Q8VCA8,Scrn2
Q3TMH2,Scrn3
Q99M85,Scrt1
Q8BTH6,Scrt2
Q921W8,Sectm1a
Q9JL59,Sectm1b
Q5FWI2,Sctr
Q6NZL8,Scube1
Q9JJS0,Scube2
Q66PY1,Scube3
Q64124,Scx
Q9EQC5,Scyl1
Q8CFE4,Scyl2
Q80UZ2,Sdad1
P18828,Sdc1
P43407,Sdc2
Q64519,Sdc3
O35988,Sdc4
O08992,Sdcbp
Q99JZ0,Sdcbp2
Q80UF4,Sdccag8
Q8K1J5,Sde2
P40224,Cxcl12
Q9ESP1,Sdf2l1
Q9DCT5,Sdf2
Q8K2B3,Sdha
Q9CQA3,Sdhb
Q3U276,Sdhaf1
Q8C6I2,Sdhaf2
Q8BQU3,Sdhaf3
Q8BTE0,Sdhaf4
Q8VBT2,Sds
Q3UH53,Sdk1
Q6V4S5,Sdk2
Q8BR65,Suds3
Q8R238,Sdsl
Q9Z2G6,Sel1l
Q3V172,Sel1l2
Q80TS8,Sel1l3
Q6P1D5,Sez6l
Q4V9Z5,Sez6l2
P70368,Sebox
Q3U1C4,Secisbp2
Q9WUQ2,Preb
Q9D1M0,Sec13
P97353,Sec1
Q6QD59,Bnip1
Q8BU14,Sec62
Q8VHE0,Sec63
Q08535,Sct
Q91WD9,Scgn
Q8R2U0,Seh1l
Q9JHW4,Eefsec
Q3UQA7,Selenoh
Q9JLJ1,Selenok
Q8VHC3,Selenom
D3Z2R5,Selenon
Q9DBC0,Selenoo
Q62170,Selplg
Q9BCZ4,Selenos
P62342,Selenot
P63300,Selenow
P60897,Sem1
O08665,Sema3a
Q62177,Sema3b
Q62181,Sema3c
Q8BH34,Sema3d
P70275,Sema3e
O88632,Sema3f
Q4LFA9,Sema3g
Q62178,Sema4a
Q62179,Sema4b
Q64151,Sema4c
O09126,Sema4d
Q9Z123,Sema4f
Q9WUH7,Sema4g
Q62217,Sema5a
Q60519,Sema5b
O35464,Sema6a
O54951,Sema6b
Q9WTM3,Sema6c
Q76KF0,Sema6d
Q9QUR8,Sema7a
Q8R3W5,Tsen15
Q6P7W5,Tsen2
Q8BMZ5,Tsen34
Q8C2A2,Tsen54
P59110,Senp1
Q91ZX6,Senp2
Q9EP97,Senp3
Q6NXL6,Senp5
Q6P7W0,Senp6
Q8BUH8,Senp7
Q9D2Z4,Senp8
Q8C650,Septin10
Q8C1B7,Septin11
Q9DA97,Septin14
Q9ERR7,Selenof
P70274,Selenop
P97321,Fap
P42209,Septin1
P42208,Septin2
Q9Z1S5,Septin3
P28661,Septin4
Q9Z2Q6,Septin5
Q9R1T4,Septin6
O55131,Septin7
Q8CHH9,Septin8
Q80UG5,Septin9
Q61753,Phgdh
Q9CY58,Serbp1
Q99LS3,Psph
Q9QZI8,Serinc1
Q8K0E7,Serinc2
Q9QZI9,Serinc3
Q5XK03,Serinc4
Q8BHJ6,Serinc5
Q99K85,Psat1
O88892,Serf1
P84102,Serf2
Q9EPB5,Serhl
Q9Z1W5,Serp1
Q6TAW2,Serp2
P19324,Serpinh1
Q80UK0,Sestd1
P58006,Sesn1
P58043,Sesn2
Q9CYP7,Sesn3
Q8BH49,Pheta1
Q14B98,Pheta2
E9PYH6,Setd1a
Q8CFT2,Setd1b
O88974,Setdb1
Q8C267,Setdb2
Q9Z180,Setbp1
E9Q5F9,Setd2
Q91WC0,Setd3
P58467,Setd4
Q5XJV7,Setd5
Q9CWY3,Setd6
Q8VHL1,Setd7
Q80UJ9,Setmar
A2AKX3,Setx
Q9EQU5,Set
Q7TSK2,Sez6
Q64213,Sf1
Q8K4Z5,Sf3a1
Q62203,Sf3a2
Q9D554,Sf3a3
Q99NB9,Sf3b1
Q3UJB0,Sf3b2
Q921M3,Sf3b3
Q8QZY9,Sf3b4
Q923D4,Sf3b5
P59708,Sf3b6
Q3UZY0,Sfi1
Q8VIJ6,Sfpq
Q5U4C3,Scaf1
Q8BP27,Sfr1
Q8C4U3,Sfrp1
P97299,Sfrp2
P97401,Frzb
Q9Z1N6,Sfrp4
Q9WU66,Sfrp5
Q3USH5,Sfswap
Q5SSN7,Sft2d1
Q8VD57,Sft2d2
Q9CSV6,Sft2d3
E9PXB6,Sfta2
P35242,Sftpa1
P50404,Sftpd
Q99JR1,Sfxn1
Q925N2,Sfxn2
Q91V61,Sfxn3
Q925N1,Sfxn4
Q925N0,Sfxn5
Q8K4N2,Spag11a
Q3UW43,Spag11b
Q3TUA9,Pomk
Q7M742,Scgb1c1
Q6UGQ3,Scgb2b2
Q920D7,Scgb3a1
Q920H1,Scgb3a2
P82350,Sgca
P82349,Sgcb
P82347,Sgcd
O70258,Sgce
P82348,Sgcg
Q8BX51,Sgcz
Q9DA08,Sgf29
Q8VD37,Sgip1
Q9WVC6,Sgk1
Q9QZS5,Sgk2
Q9ERE3,Sgk3
O55242,Sigmar1
Q8VD00,Tmem97
Q9CXH7,Sgo1
Q7TSY8,Sgo2a
Q8R0X7,Sgpl1
Q9JI99,Sgpp1
Q810K3,Sgpp2
Q8BPQ7,Sgsm1
Q80U12,Sgsm2
Q8VCZ6,Sgsm3
Q5U425,Smim10l3
Q9CX34,Sugt1
Q8BJU0,Sgta
Q8VD33,Sgtb
O88890,Sh2d1a
O35324,Sh2d1b
Q45HK4,Sh2d1b2
Q9QXK9,Sh2d2a
Q9D7V1,Sh2d4a
A6X942,Sh2d4b
Q91ZM2,Sh2b1
Q9JID9,Sh2b2
O09039,Sh2b3
Q9QZS8,Sh2d3c
Q8JZW5,Sh2d5
Q9D413,Sh2d6
Q8BI17,Sh2d7
Q91X43,Sh3d19
Q7TSG5,Sh3d21
Q921I6,Sh3bp4
Q9WUZ7,Sh3bgr
Q62419,Sh3gl1
Q62420,Sh3gl2
Q62421,Sh3gl3
Q8R550,Sh3kbp1
Q9JJU8,Sh3bgrl
Q8BG73,Sh3bgrl2
Q91VW3,Sh3bgrl3
Q69ZI1,Sh3rf1
Q8BZT2,Sh3rf2
Q8C120,Sh3rf3
O08641,Sh3yl1
D3YZU1,Shank1
Q80Z38,Shank2
Q4ACU6,Shank3
P97497,Shbg
Q6PD21,Shb
P98083,Shc1
Q8BMC3,Shc2
Q61120,Shc3
Q6S5L9,Shc4
Q8C8M1,Sinhcaf
Q9Z179,Shcbp1
O88834,Shd
Q8BSD5,She
Q8CAK3,Shfl
Q8CG80,Shf
Q62226,Shh
Q9ES52,Inpp5d
Q6P549,Inppl1
Q6P7W2,Shkbp1
A2A9G7,Shisal2a
Q9D1Y9,Shisal2b
Q9JK48,Sh3glb1
Q8R3V5,Sh3glb2
Q9D112,Shld1
Q3UEN2,Shld2
Q9CZV2,Shld3
A2ALV5,Shoc1
O88520,Shoc2
Q8K2Q9,Shtn1
P70390,Shox2
Q3TTP0,Shcbp1l
Q9D5J6,Shpk
Q7TPQ3,Shprh
P97797,Sirpa
Q7TMX5,Shq1
Q5SX79,Shroom1
A2ALU4,Shroom2
Q9QXN0,Shroom3
Q1W617,Shroom4
Q91WA6,Sharpin
Q8QZV2,Shisa2
Q3UPR0,Shisa3
Q8CA71,Shisa4
Q9D7I0,Shisa5
Q3UH99,Shisa6
Q8C3Q5,Shisa7
J3QNX5,Shisa8
Q9CZN4,Shisa9
Q0VBP7,Shisal1
C4P6S0,Nsun4
Q8C0T5,Sipa1l1
Q80TE4,Sipa1l2
G3X9J0,Sipa1l3
Q8VIB3,St3gal6
P61092,Siah1a
Q06985,Siah1b
P54751,St3gal1
Q11204,St3gal2
Q91Y74,St3gal4
Q9QZ39,St6galnac1
P70277,St6galnac2
Q9WUV2,St6galnac3
Q9R2B6,St6galnac4
Q9QYJ1,St6galnac5
Q9JM95,St6galnac6
Q64687,St8sia1
O35696,St8sia2
Q64689,St8sia3
Q64692,St8sia4
P70126,St8sia5
Q8K4T1,St8sia6
P70665,Siae
Q06986,Siah2
Q61711,Ibsp
Q99J77,Nans
Q64685,St6gal1
Q76K27,St6gal2
P97325,St3gal3
O88829,St3gal5
Q6AXF6,Sidt1
Q8CIF6,Sidt2
Q80ZE3,Siglec10
Q91Y57,Siglec12
Q9JLZ8,Sigirr
Q920G3,Siglec5
Q60670,Sik1
Q8CFH6,Sik2
Q6P4S6,Sik3
Q9CPR7,Sike1
Q9EPK6,Sil1
Q99J19,Smim11
Q78RX3,Smim12
E9Q942,Smim13
Q91VT8,Smim14
Q3UTD9,Smim15
Q61045,Sim1
D3Z7Q2,Smim20
Q9DAL0,Smim23
Q0VG18,Smim24
A0A140LHV9,Smim27
Q8R043,Smim29
Q61079,Sim2
F2Z3Y9,Smim30
Q3V2G4,Smim31
Q3TS39,Smim33
E9Q2Z6,Smim35
A0A1B0GRQ0,Smim36
A0A286YD83,Smim43
E9Q6E9,Simc1
Q8BKH7,Mapkap1
Q60520,Sin3a
Q62141,Sin3b
P46062,Sipa1
Q923E4,Sirt1
Q8VDQ8,Sirt2
Q8R104,Sirt3
Q8R216,Sirt4
Q8K2C6,Sirt5
P59941,Sirt6
Q8BKJ9,Sirt7
Q8C503,Sit1
O54926,Siva1
Q62231,Six1
Q62232,Six2
Q62233,Six3
Q61321,Six4
P70178,Six5
Q9QZ28,Six6
Q9CPV1,Ska1
Q9CR46,Ska2
Q8C263,Ska3
Q3UUV5,Skap1
Q3UND0,Skap2
Q9D9Z1,Knstrn
Q80YR3,Skida1
A7TZG1,Skint10
A7XV14,Skint11
Q6NZR5,Skic2
F8VPK0,Skic3
Q9ERF3,Skic8
Q60665,Skil
A7TZE6,Skint1
A7XUX6,Skint2
A7TZF0,Skint3
A7TZF3,Skint4
A7XUY5,Skint5
A7XUZ6,Skint6
A7XV04,Skint7
A7XV07,Skint8
A7TZG3,Skint9
Q60698,Ski
Q8BX46,Skor1
A7M7C7,Skor2
Q9WTX5,Skp1
Q9Z0Z3,Skp2
A2AQ25,Skt
